cve_id,description,av,ac,pr,ui,s,c,i,a
CVE-2023-6399,A format string vulnerability in Zyxel ATP series firmware versions from 4.32 through 5.37 Patch 1  USG FLEX series firmware versions from 4.50 through 5.37 Patch 1  USG FLEX 50(W) series firmware versions from 4.16 through 5.37 Patch 1  USG20(W)-VPN series firmware versions from 4.16 through 5.37 Patch 1  and USG FLEX H series firmware versions from 1.10 through 1.10 Patch 1 could allow an authenticated IPSec VPN user to cause DoS conditions against the “deviceid” daemon by sending a crafted hostname to an affected device if it has the “Device Insight” feature enabled.,ADJACENT_NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2024-0715,Expression Language Injection vulnerability in Hitachi Global Link Manager on Windows allows Code Injection.This issue affects Hitachi Global Link Manager: before 8.8.7-03.,NETWORK,LOW,LOW,NONE,UNCHANGED,LOW,LOW,HIGH
CVE-2023-6764,A format string vulnerability in a function of the IPSec VPN feature in Zyxel ATP series firmware versions from 4.32 through 5.37 Patch 1  USG FLEX series firmware versions from 4.50 through 5.37 Patch 1  USG FLEX 50(W) series firmware versions from 4.16 through 5.37 Patch 1  and USG20(W)-VPN series firmware versions from 4.16 through 5.37 Patch 1 could allow an attacker to achieve unauthorized remote code execution by sending a sequence of specially crafted payloads containing an invalid pointer; however  such an attack would require detailed knowledge of an affected device’s memory layout and configuration.,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-1510,The WP Shortcodes Plugin — Shortcodes Ultimate plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the plugin's su_tooltip shortcode in all versions up to  and including  7.0.2 due to insufficient input sanitization and output escaping on user supplied attributes and user supplied tags. This makes it possible for authenticated attackers with contributor-level and above permissions to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.,NETWORK,LOW,LOW,NONE,CHANGED,LOW,LOW,NONE
CVE-2024-1559,The Link Library plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the 'll_reciprocal' parameter in all versions up to  and including  7.6 due to insufficient input sanitization and output escaping. This makes it possible for unauthenticated attackers to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,LOW,NONE
CVE-2023-5190,Open redirect vulnerability in the Countries Management’s edit region page in Liferay Portal 7.4.3.45 through 7.4.3.101  and Liferay DXP 2023.Q3 before patch 6  and 7.4 update 45 through 92 allows remote attackers to redirect users to arbitrary external URLs via the _com_liferay_address_web_internal_portlet_CountriesManagementAdminPortlet_redirect parameter.,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2023-44308,Open redirect vulnerability in adaptive media administration page in Liferay DXP 2023.Q3 before patch 6  and 7.4 GA through update 92 allows remote attackers to redirect users to arbitrary external URLs via the _com_liferay_adaptive_media_web_portlet_AMPortlet_redirect parameter.,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2024-22234,In Spring Security  versions 6.1.x prior to 6.1.7 and versions 6.2.x prior to 6.2.2  an application is vulnerable to broken access control when it directly uses the AuthenticationTrustResolver.isFullyAuthenticated(Authentication) method.Specifically  an application is vulnerable if:  *  The application uses AuthenticationTrustResolver.isFullyAuthenticated(Authentication) directly and a null authentication parameter is passed to it resulting in an erroneous true return value.An application is not vulnerable if any of the following is true:  *  The application does not use AuthenticationTrustResolver.isFullyAuthenticated(Authentication) directly.  *  The application does not pass null to AuthenticationTrustResolver.isFullyAuthenticated  *  The application only uses isFullyAuthenticated via  Method Security https://docs.spring.io/spring-security/reference/servlet/authorization/method-security.html  or  HTTP Request Security https://docs.spring.io/spring-security/reference/servlet/authorization/authorize-http-requests.html,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,NONE
CVE-2024-25149,Liferay Portal 7.2.0 through 7.4.1  and older unsupported versions  and Liferay DXP 7.3 before service pack 3  7.2 before fix pack 15  and older unsupported versions does not properly restrict membership of a child site when the "Limit membership to members of the parent site" option is enabled  which allows remote authenticated users to add users who are not a member of the parent site to a child site. The added user may obtain permission to perform unauthorized actions in the child site.,NETWORK,LOW,LOW,NONE,UNCHANGED,LOW,LOW,NONE
CVE-2024-25150,Information disclosure vulnerability in the Control Panel in Liferay Portal 7.2.0 through 7.4.2  and older unsupported versions  and Liferay DXP 7.3 before update 4  7.2 before fix pack 19  and older unsupported versions allows remote authenticated users to obtain a user's full name from the page's title by enumerating user screen names.,NETWORK,LOW,LOW,NONE,UNCHANGED,LOW,NONE,NONE
CVE-2024-1608,In OPPO Usercenter Credit SDK  there's a possible escalation of privilege due to loose permission check  This could lead to application internal information leak w/o user interaction.,NETWORK,LOW,HIGH,NONE,CHANGED,HIGH,HIGH,HIGH
CVE-2024-25604,Liferay Portal 7.2.0 through 7.4.3.4  and older unsupported versions  and Liferay DXP 7.4.13  7.3 before service pack 3  7.2 before fix pack 17  and older unsupported versions does not properly check user permissions  which allows remote authenticated users with the VIEW user permission to edit their own permission via the User and Organizations section of the Control Panel.,NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,NONE
CVE-2024-25605,The Journal module in Liferay Portal 7.2.0 through 7.4.3.4  and older unsupported versions  and Liferay DXP 7.4.13  7.3 before service pack 3  7.2 before fix pack 17  and older unsupported versions grants guest users view permission to web content templates by default  which allows remote attackers to view any template via the UI or API.,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,NONE,NONE
CVE-2024-25606,XXE vulnerability in Liferay Portal 7.2.0 through 7.4.3.7  and older unsupported versions  and Liferay DXP 7.4 before update 4  7.3 before update 12  7.2 before fix pack 20  and older unsupported versions allows attackers with permission to deploy widgets/portlets/extensions to obtain sensitive information or consume system resources via the Java2WsddTask._format method.,NETWORK,HIGH,HIGH,NONE,CHANGED,HIGH,HIGH,HIGH
CVE-2024-25607,The default password hashing algorithm (PBKDF2-HMAC-SHA1) in Liferay Portal 7.2.0 through 7.4.3.15  and older unsupported versions  and Liferay DXP 7.4 before update 16  7.3 before update 4  7.2 before fix pack 17  and older unsupported versions defaults to a low work factor  which allows attackers to quickly crack password hashes.,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,NONE
CVE-2024-25608,HtmlUtil.escapeRedirect in Liferay Portal 7.2.0 through 7.4.3.18  and older unsupported versions  and Liferay DXP 7.4 before update 19  7.3 before update 4  7.2 before fix pack 19  and older unsupported versions can be circumvented by using the 'REPLACEMENT CHARACTER' (U+FFFD)  which allows remote attackers to redirect users to arbitrary external URLs via the (1) 'redirect` parameter (2) `FORWARD_URL` parameter  (3) `noSuchEntryRedirect` parameter  and (4) others parameters that rely on HtmlUtil.escapeRedirect.,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2024-25609,HtmlUtil.escapeRedirect in Liferay Portal 7.2.0 through 7.4.3.12  and older unsupported versions  and Liferay DXP 7.4 before update 9  7.3 service pack 3  7.2 fix pack 15 through 18  and older unsupported versions can be circumvented by using two forward slashes  which allows remote attackers to redirect users to arbitrary external URLs via the (1) 'redirect` parameter (2) `FORWARD_URL` parameter  and (3) others parameters that rely on HtmlUtil.escapeRedirect. This vulnerability is the result of an incomplete fix in CVE-2022-28977.,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2024-24793,A use-after-free vulnerability exists in the DICOM Element Parsing as implemented in Imaging Data Commons libdicom 1.0.5. A specially crafted DICOM file can cause premature freeing of memory that is used later. To trigger this vulnerability  an attacker would need to induce the vulnerable application to process a malicious DICOM image.The Use-After-Free happens in the `parse_meta_element_create()` parsing the elements in the File Meta Information header.,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-24794,A use-after-free vulnerability exists in the DICOM Element Parsing as implemented in Imaging Data Commons libdicom 1.0.5. A specially crafted DICOM file can cause premature freeing of memory that is used later. To trigger this vulnerability  an attacker would need to induce the vulnerable application to process a malicious DICOM image.The Use-After-Free happens in the `parse_meta_sequence_end()` parsing the Sequence Value Represenations.,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-1661,A vulnerability classified as problematic was found in Totolink X6000R 9.4.0cu.852_B20230719. Affected by this vulnerability is an unknown functionality of the file /etc/shadow. The manipulation leads to hard-coded credentials. It is possible to launch the attack on the local host. The complexity of an attack is rather high. The exploitation appears to be difficult. The exploit has been disclosed to the public and may be used. The associated identifier of this vulnerability is VDB-254179. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.,LOCAL,HIGH,LOW,NONE,UNCHANGED,LOW,NONE,NONE
CVE-2024-25610,In Liferay Portal 7.2.0 through 7.4.3.12  and older unsupported versions  and Liferay DXP 7.4 before update 9  7.3 before update 4  7.2 before fix pack 19  and older unsupported versions  the default configuration does not sanitize blog entries of JavaScript  which allows remote authenticated users to inject arbitrary web script or HTML (XSS) via a crafted payload injected into a blog entry’s content text field.,NETWORK,LOW,LOW,REQUIRED,CHANGED,HIGH,HIGH,HIGH
CVE-2024-26265,The Image Uploader module in Liferay Portal 7.2.0 through 7.4.3.15  and older unsupported versions  and Liferay DXP 7.4 before update 16  7.3 before update 4  7.2 before fix pack 19  and older unsupported versions relies on a request parameter to limit the size of files that can be uploaded  which allows remote authenticated users to upload arbitrarily large files to the system's temp folder by modifying the `maxFileSize` parameter.,NETWORK,LOW,LOW,NONE,CHANGED,NONE,NONE,LOW
CVE-2024-26267,In Liferay Portal 7.2.0 through 7.4.3.25  and older unsupported versions  and Liferay DXP 7.4 before update 26  7.3 before update 5  7.2 before fix pack 19  and older unsupported versions the default value of the portal property `http.header.version.verbosity` is set to `full`  which allows remote attackers to easily identify the version of the application that is running and the vulnerabilities that affect that version via 'Liferay-Portal` response header.,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,NONE,NONE
CVE-2023-42791,A relative path traversal in Fortinet FortiManager version 7.4.0 and 7.2.0 through 7.2.3 and 7.0.0 through 7.0.8 and 6.4.0 through 6.4.12 and 6.2.0 through 6.2.11 allows attacker to execute unauthorized code or commands via crafted HTTP requests.,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2023-50306,IBM Common Licensing 9.0 could allow a local user to enumerate usernames due to an observable response discrepancy.  IBM X-Force ID:  273337.,LOCAL,LOW,NONE,NONE,UNCHANGED,LOW,NONE,NONE
CVE-2024-26268,User enumeration vulnerability in Liferay Portal 7.2.0 through 7.4.3.26  and older unsupported versions  and Liferay DXP 7.4 before update 27  7.3 before update 8  7.2 before fix pack 20  and older unsupported versions allows remote attackers to determine if an account exist in the application by comparing the request's response time.,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,NONE,NONE
CVE-2024-26270,The Account Settings page in Liferay Portal 7.4.3.76 through 7.4.3.99  and Liferay DXP 2023.Q3 before patch 5  and 7.4 update 76 through 92 embeds the user’s hashed password in the page’s HTML source  which allows man-in-the-middle attackers to steal a user's hashed password.,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2023-38562,A double-free vulnerability exists in the IP header loopback parsing functionality of Weston Embedded uC-TCP-IP v3.06.01. A specially crafted set of network packets can lead to memory corruption  potentially resulting in code execution. An attacker can send a sequence of unauthenticated packets to trigger this vulnerability.,NETWORK,HIGH,NONE,NONE,CHANGED,NONE,HIGH,HIGH
CVE-2023-39540,A denial of service vulnerability exists in the ICMP and ICMPv6 parsing functionality of Weston Embedded uC-TCP-IP v3.06.01. A specially crafted network packet can lead to an out-of-bounds read. An attacker can send a malicious packet to trigger this vulnerability.This vulnerability concerns a denial of service within the parsing an IPv4 ICMP packet.,NETWORK,HIGH,NONE,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2023-39541,A denial of service vulnerability exists in the ICMP and ICMPv6 parsing functionality of Weston Embedded uC-TCP-IP v3.06.01. A specially crafted network packet can lead to an out-of-bounds read. An attacker can send a malicious packet to trigger this vulnerability.This vulnerability concerns a denial of service within the parsing an IPv6 ICMPv6 packet.,NETWORK,HIGH,NONE,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2023-45318,A heap-based buffer overflow vulnerability exists in the HTTP Server functionality of Weston Embedded uC-HTTP git commit 80d4004. A specially crafted network packet can lead to arbitrary code execution. An attacker can send a malicious packet to trigger this vulnerability.,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH
CVE-2024-1155,Incorrect permissions in the installation directories for shared SystemLink Elixir based services may allow an authenticated user to potentially enable escalation of privilege via local access.,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-1156,Incorrect directory permissions for the shared NI RabbitMQ service may allow a local authenticated user to read RabbitMQ configuration information and potentially enable escalation of privileges.,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-21795,A heap-based buffer overflow vulnerability exists in the .egi parsing functionality of The Biosig Project libbiosig 2.5.0 and Master Branch (ab0ee111). A specially crafted .egi file can lead to arbitrary code execution. An attacker can provide a malicious file to trigger this vulnerability.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-21812,An integer overflow vulnerability exists in the sopen_FAMOS_read functionality of The Biosig Project libbiosig 2.5.0 and Master Branch (ab0ee111). A specially crafted .famos file can lead to an out-of-bounds write which in turn can lead to arbitrary code execution. An attacker can provide a malicious file to trigger this vulnerability.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-22097,A double-free vulnerability exists in the BrainVision Header Parsing functionality of The Biosig Project libbiosig Master Branch (ab0ee111) and 2.5.0. A specially crafted .vdhr file can lead to arbitrary code execution. An attacker can provide a malicious file to trigger this vulnerability.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-23305,An out-of-bounds write vulnerability exists in the BrainVisionMarker Parsing functionality of The Biosig Project libbiosig 2.5.0 and Master Branch (ab0ee111). A specially crafted .vmrk file can lead to arbitrary code execution. An attacker can provide a malicious file to trigger this vulnerability.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-23310,A use-after-free vulnerability exists in the sopen_FAMOS_read functionality of The Biosig Project libbiosig 2.5.0 and Master Branch (ab0ee111). A specially crafted .famos file can lead to arbitrary code execution. An attacker can provide a malicious file to trigger this vulnerability.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-23313,An integer underflow vulnerability exists in the sopen_FAMOS_read functionality of The Biosig Project libbiosig 2.5.0 and Master Branch (ab0ee111). A specially crafted .famos file can lead to an out-of-bounds write which in turn can lead to arbitrary code execution. An attacker can provide a malicious file to trigger this vulnerability.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-23606,An out-of-bounds write vulnerability exists in the sopen_FAMOS_read functionality of The Biosig Project libbiosig 2.5.0 and Master Branch (ab0ee111). A specially crafted .famos file can lead to arbitrary code execution. An attacker can provide a malicious file to trigger this vulnerability.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2024-23809,A double-free vulnerability exists in the BrainVision ASCII Header Parsing functionality of The Biosig Project libbiosig 2.5.0 and Master Branch (ab0ee111). A specially crafted .vdhr file can lead to arbitrary code execution. An attacker can provide a malicious file to trigger this vulnerability.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2023-47635,Decidim is a participatory democracy framework. Starting in version 0.23.0 and prior to versions 0.27.5 and 0.28.0  the CSRF authenticity token check is disabled for the questionnaire templates preview. The issue does not imply a serious security thread as you need to have access also to the session cookie in order to see this resource. This URL does not allow modifying the resource but it may allow attackers to gain access to information which was not meant to be public. The issue is fixed in version 0.27.5 and 0.28.0. As a workaround  disable the templates functionality or remove all available templates.,NETWORK,LOW,HIGH,REQUIRED,UNCHANGED,HIGH,NONE,NONE
CVE-2023-48220,Decidim is a participatory democracy framework. Starting in version 0.4.rc3 and prior to version 2.0.9 of the `devise_invitable` gem  the invites feature allows users to accept the invitation for an unlimited amount of time through the password reset functionality. This issue creates vulnerable dependencies starting in version 0.0.1.alpha3 and prior to versions 0.26.9  0.27.5  and 0.28.0 of the `decidim ` `decidim-admin`  and `decidim-system` gems. When using the password reset functionality  the `devise_invitable` gem always accepts the pending invitation if the user has been invited. The only check done is if the user has been invited but the code does not ensure that the pending invitation is still valid as defined by the `invite_for` expiry period. Decidim sets this configuration to `2.weeks` so this configuration should be respected. The bug is in the `devise_invitable` gem and should be fixed there and the dependency should be upgraded in Decidim once the fix becomes available. `devise_invitable` to version `2.0.9` and above fix this issue. Versions 0.26.9  0.27.5  and 0.28.0 of the `decidim ` `decidim-admin`  and `decidim-system` gems contain this fix. As a workaround  invitations can be cancelled directly from the database.,NETWORK,HIGH,HIGH,REQUIRED,UNCHANGED,HIGH,HIGH,NONE
CVE-2023-51447,Decidim is a participatory democracy framework. Starting in version 0.27.0 and prior to versions 0.27.5 and 0.28.0  the dynamic file upload feature is subject to potential cross-site scripting attacks in case the attacker manages to modify the file names of the records being uploaded to the server. This appears in sections where the user controls the file upload dialogs themselves and has the technical knowledge to change the file names through the dynamic upload endpoint. Therefore I believe it would require the attacker to control the whole session of the particular user but in any case  this needs to be fixed. Successful exploit of this vulnerability would require the user to have successfully uploaded a file blob to the server with a malicious file name and then have the possibility to direct the other user to the edit page of the record where the attachment is attached. The users are able to craft the direct upload requests themselves controlling the file name that gets stored to the database. The attacker is able to change the filename e.g. to `<svg onload=alert('XSS')>` if they know how to craft these requests themselves. And then enter the returned blob ID to the form inputs manually by modifying the edit page source. Versions 0.27.5 and 0.28.0 contain a patch for this issue. As a workaround  disable dynamic uploads for the instance  e.g. from proposals.,NETWORK,LOW,LOW,REQUIRED,UNCHANGED,HIGH,LOW,NONE
CVE-2024-22245,Arbitrary Authentication Relay and Session Hijack vulnerabilities in the deprecated VMware Enhanced Authentication Plug-in (EAP) could allow a malicious actor that could trick a target domain user with EAP installed in their web browser into requesting and relaying service tickets for arbitrary Active Directory Service Principal Names (SPNs).,NETWORK,LOW,NONE,REQUIRED,CHANGED,HIGH,HIGH,HIGH
CVE-2024-22250,Session Hijack vulnerability in Deprecated VMware Enhanced Authentication Plug-in could allow a malicious actor with unprivileged local access to a windows operating system can hijack a privileged EAP session when initiated by a privileged domain user on the same system.,LOCAL,HIGH,LOW,NONE,CHANGED,HIGH,HIGH,HIGH
CVE-2024-24763,JumpServer is an open source bastion host and an operation and maintenance security audit system. Prior to version 3.10.0  attackers can exploit this vulnerability to construct malicious links  leading users to click on them  thereby facilitating phishing attacks or cross-site scripting attacks. Version 3.10.0 contains a patch for this issue. No known workarounds are available.,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,NONE,NONE,LOW
CVE-2024-25630,Cilium is a networking  observability  and security solution with an eBPF-based dataplane. For Cilium users who are using CRDs to store Cilium state (the default configuration) and Wireguard transparent encryption  traffic to/from the Ingress and health endpoints is not encrypted. This issue affects Cilium v1.14 before v1.14.7 and has been patched in Cilium v1.14.7. There is no workaround to this issue.,ADJACENT_NETWORK,HIGH,NONE,NONE,CHANGED,HIGH,NONE,NONE
CVE-2024-25631,Cilium is a networking  observability  and security solution with an eBPF-based dataplane. For Cilium users who have enabled an external kvstore and Wireguard transparent encryption  traffic between pods in the affected cluster is not encrypted. This issue affects Cilium v1.14 before v1.14.7 and has been patched in Cilium v1.14.7. There is no workaround to this issue.,ADJACENT_NETWORK,HIGH,NONE,NONE,CHANGED,HIGH,NONE,NONE
CVE-2024-26135,MeshCentral is a full computer management web site. Versions prior to 1.1.21 a cross-site websocket hijacking (CSWSH) vulnerability within the control.ashx endpoint. This component is the primary mechanism used within MeshCentral to perform administrative actions on the server. The vulnerability is exploitable when an attacker is able to convince a victim end-user to click on a malicious link to a page hosting an attacker-controlled site. The attacker can then originate a cross-site websocket connection using client-side JavaScript code to connect to `control.ashx` as the victim user within MeshCentral. Version 1.1.21 contains a patch for this issue.,NETWORK,HIGH,NONE,REQUIRED,CHANGED,HIGH,HIGH,HIGH
CVE-2023-6936,In wolfSSL prior to 5.6.6  if callback functions are enabled (via the WOLFSSL_CALLBACKS flag)  then a malicious TLS client or network attacker can trigger a buffer over-read on the heap of 5 bytes (WOLFSSL_CALLBACKS is only intended for debugging).,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,NONE,NONE
CVE-2024-23830,MantisBT is an open source issue tracker. Prior to version 2.26.1  an unauthenticated attacker who knows a user's email address and username can hijack the user's account by poisoning the link in the password reset notification message. A patch is available in version 2.26.1. As a workaround  define `$g_path` as appropriate in `config_inc.php`.,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,LOW
CVE-2024-26136,kedi ElectronCord is a bot management tool for Discord. Commit aaaeaf4e6c99893827b2eea4dd02f755e1e24041 exposes an account access token in the `config.json` file. Malicious actors could potentially exploit this vulnerability to gain unauthorized access to sensitive information or perform malicious actions on behalf of the repository owner. As of time of publication  it is unknown whether the owner of the repository has rotated the token or taken other mitigation steps aside from informing users of the situation.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2024-26140,com.yetanalytics/lrs is the Yet Analytics Core LRS Library. Prior to version 1.2.17 of the LRS library and version 0.7.5 of SQL LRS  a maliciously crafted xAPI statement could be used to perform script or other tag injection in the LRS Statement Browser. The problem is patched in version 1.2.17 of the LRS library and version 0.7.5 of SQL LRS. No known workarounds exist.,NETWORK,LOW,LOW,REQUIRED,UNCHANGED,NONE,LOW,LOW
CVE-2024-25147,Cross-site scripting (XSS) vulnerability in HtmlUtil.escapeJsLink in Liferay Portal 7.2.0 through 7.4.1  and older unsupported versions  and Liferay DXP 7.3 before service pack 3  7.2 before fix pack 15  and older unsupported versions allows remote attackers to inject arbitrary web script or HTML via crafted javascript: style links.,NETWORK,LOW,NONE,REQUIRED,CHANGED,HIGH,HIGH,HIGH
CVE-2024-25152,Stored cross-site scripting (XSS) vulnerability in Message Board widget in Liferay Portal 7.2.0 through 7.4.2  and older unsupported versions  and Liferay DXP 7.3 before service pack 3  7.2 before fix pack 17  and older unsupported versions allows remote authenticated users to inject arbitrary web script or HTML via the filename of an attachment.,NETWORK,LOW,LOW,REQUIRED,CHANGED,HIGH,HIGH,HIGH
CVE-2024-25601,Stored cross-site scripting (XSS) vulnerability in Expando module's geolocation custom fields in Liferay Portal 7.2.0 through 7.4.2  and older unsupported versions  and Liferay DXP 7.3 before service pack 3  7.2 before fix pack 17  and older unsupported versions allows remote authenticated users to inject arbitrary web script or HTML via a crafted payload injected into the name text field of a geolocation custom field.,NETWORK,LOW,LOW,REQUIRED,CHANGED,HIGH,HIGH,HIGH
CVE-2024-25602,Stored cross-site scripting (XSS) vulnerability in Users Admin module's edit user page in Liferay Portal 7.2.0 through 7.4.2  and older unsupported versions  and Liferay DXP 7.3 before service pack 3  7.2 before fix pack 17  and older unsupported versions allows remote authenticated users to inject arbitrary web script or HTML via a crafted payload injected into an organization’s “Name” text field,NETWORK,LOW,LOW,REQUIRED,CHANGED,HIGH,HIGH,HIGH
CVE-2023-40191,Reflected cross-site scripting (XSS) vulnerability in the instance settings for Accounts in Liferay Portal 7.4.3.44 through 7.4.3.97  and Liferay DXP 2023.Q3 before patch 6  and 7.4 update 44 through 92 allows remote attackers to inject arbitrary web script or HTML via a crafted payload injected into the “Blocked Email Domains” text field,NETWORK,LOW,LOW,REQUIRED,CHANGED,HIGH,HIGH,HIGH
CVE-2023-42496,Reflected cross-site scripting (XSS) vulnerability on the add assignees to a role page in Liferay Portal 7.3.3 through 7.4.3.97  and Liferay DXP 2023.Q3 before patch 6  7.4 GA through update 92  and 7.3 before update 34 allows remote attackers to inject arbitrary web script or HTML via the _com_liferay_roles_admin_web_portlet_RolesAdminPortlet_tabs2 parameter.,NETWORK,LOW,NONE,REQUIRED,CHANGED,HIGH,HIGH,HIGH
CVE-2023-42498,Reflected cross-site scripting (XSS) vulnerability in the Language Override edit screen in Liferay Portal 7.4.3.8 through 7.4.3.97  and Liferay DXP 2023.Q3 before patch 5  and 7.4 update 4 through 92 allows remote attackers to inject arbitrary web script or HTML via the _com_liferay_portal_language_override_web_internal_portlet_PLOPortlet_key parameter.,NETWORK,LOW,NONE,REQUIRED,CHANGED,HIGH,HIGH,HIGH
CVE-2024-1108,The Plugin Groups plugin for WordPress is vulnerable to unauthorized modification of data due to a missing capability check on the admin_init() function in all versions up to  and including  2.0.6. This makes it possible for unauthenticated attackers to change the settings of the plugin  which can also cause a denial of service due to a misconfiguration.,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,LOW,LOW
CVE-2024-1631,Impact: The library offers a function to generate an ed25519 key pair via Ed25519KeyIdentity.generate with an optional param to provide a 32 byte seed value  which will then be used as the secret key. When no seed value is provided  it is expected that the library generates the secret key using secure randomness. However  a recent change broke this guarantee and uses an insecure seed for key pair generation. Since the private key of this identity (535yc-uxytb-gfk7h-tny7p-vjkoe-i4krp-3qmcl-uqfgr-cpgej-yqtjq-rqe) is compromised  one could lose funds associated with the principal on ledgers or lose access to a canister where this principal is the controller.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,NONE
CVE-2024-25603,Stored cross-site scripting (XSS) vulnerability in the Dynamic Data Mapping module's DDMForm in Liferay Portal 7.2.0 through 7.4.3.4  and older unsupported versions  and Liferay DXP 7.4.13  7.3 before update 4  7.2 before fix pack 17  and older unsupported versions allows remote authenticated users to inject arbitrary web script or HTML via the instanceId parameter.,NETWORK,LOW,LOW,REQUIRED,CHANGED,HIGH,HIGH,HIGH
CVE-2024-26266,Multiple stored cross-site scripting (XSS) vulnerabilities in Liferay Portal 7.2.0 through 7.4.3.13  and older unsupported versions  and Liferay DXP 7.4 before update 10  7.3 before update 4  7.2 before fix pack 17  and older unsupported versions allow remote authenticated users to inject arbitrary web script or HTML via a crafted payload injected into the first/middle/last name text field of the user who creates an entry in the (1) Announcement widget  or (2) Alerts widget.,NETWORK,LOW,LOW,REQUIRED,CHANGED,HIGH,HIGH,HIGH
CVE-2024-26269,Cross-site scripting (XSS) vulnerability in the Frontend JS module's portlet.js in Liferay Portal 7.2.0 through 7.4.3.37  and Liferay DXP 7.4 before update 38  7.3 before update 11  7.2 before fix pack 20  and older unsupported versions allows remote attackers to inject arbitrary web script or HTML via the anchor (hash) part of a URL.,NETWORK,LOW,NONE,REQUIRED,CHANGED,HIGH,HIGH,HIGH
CVE-2024-1501,The Database Reset plugin for WordPress is vulnerable to Cross-Site Request Forgery in all versions up to  and including  3.22. This is due to missing or incorrect nonce validation on the install_wpr() function. This makes it possible for unauthenticated attackers to install the WP Reset Plugin via a forged request granted they can trick a site administrator into performing an action such as clicking on a link.,NETWORK,LOW,NONE,REQUIRED,CHANGED,NONE,LOW,NONE
CVE-2024-1562,The WooCommerce Google Sheet Connector plugin for WordPress is vulnerable to unauthorized modification of data due to a missing capability check on the execute_post_data function in all versions up to  and including  1.3.11. This makes it possible for unauthenticated attackers to update plugin settings.,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,LOW,NONE
CVE-2024-25151,The Calendar module in Liferay Portal 7.2.0 through 7.4.2  and older unsupported versions  and Liferay DXP 7.3 before service pack 3  7.2 before fix pack 15  and older unsupported versions does not escape user supplied data in the default notification email template  which allows remote authenticated users to inject arbitrary web script or HTML via the title of a calendar event or the user's name. This may lead to a content spoofing or cross-site scripting (XSS) attacks depending on the capability of the receiver's mail client.,NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE
